"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","08 Feb 1999","650.04","653.10","637.81","638.44"
"NIFTY 500","05 Feb 1999","652.81","654.98","645.73","650.01"
"NIFTY 500","04 Feb 1999","662.01","666.00","650.68","652.79"
"NIFTY 500","03 Feb 1999","645.38","662.19","645.38","662.00"
"NIFTY 500","02 Feb 1999","655.42","655.48","642.49","645.38"
"NIFTY 500","01 Feb 1999","673.85","673.85","655.42","655.42"
"NIFTY 500","29 Jan 1999","670.62","675.53","665.95","673.88"
"NIFTY 500","28 Jan 1999","683.87","688.98","669.89","670.62"
"NIFTY 500","27 Jan 1999","664.08","690.67","664.08","683.86"
"NIFTY 500","25 Jan 1999","666.86","666.97","653.50","664.04"
"NIFTY 500","22 Jan 1999","670.82","681.58","666.15","666.89"
"NIFTY 500","21 Jan 1999","642.43","670.81","642.43","670.80"
"NIFTY 500","19 Jan 1999","655.86","659.58","640.89","642.39"
"NIFTY 500","18 Jan 1999","651.37","655.86","642.72","655.86"
"NIFTY 500","15 Jan 1999","664.75","674.11","650.42","651.37"
"NIFTY 500","14 Jan 1999","667.65","673.81","660.28","664.69"
"NIFTY 500","13 Jan 1999","664.86","681.61","664.86","667.73"
"NIFTY 500","12 Jan 1999","678.19","678.19","658.77","664.78"
"NIFTY 500","11 Jan 1999","673.97","694.90","673.97","678.24"
"NIFTY 500","08 Jan 1999","654.99","674.00","654.99","673.88"
"NIFTY 500","07 Jan 1999","641.92","659.35","641.92","654.89"
"NIFTY 500","06 Jan 1999","627.27","643.08","627.27","641.87"
"NIFTY 500","05 Jan 1999","620.22","627.20","617.40","627.20"
"NIFTY 500","04 Jan 1999","614.00","624.44","614.00","620.19"
"NIFTY 500","01 Jan 1999","609.06","614.02","608.23","613.95"
"NIFTY 500","31 Dec 1998","618.37","622.50","609.06","609.06"
"NIFTY 500","30 Dec 1998","598.89","620.08","598.89","618.37"
"NIFTY 500","29 Dec 1998","600.69","603.22","595.40","598.78"
"NIFTY 500","28 Dec 1998","586.47","602.05","586.47","600.70"
"NIFTY 500","24 Dec 1998","585.29","587.37","583.18","586.43"
"NIFTY 500","23 Dec 1998","583.33","593.84","583.33","585.30"
"NIFTY 500","22 Dec 1998","585.47","588.01","580.55","583.32"
"NIFTY 500","21 Dec 1998","569.27","585.46","569.27","585.45"
"NIFTY 500","18 Dec 1998","565.70","570.56","564.09","569.23"
"NIFTY 500","17 Dec 1998","578.41","578.41","564.56","565.69"
"NIFTY 500","16 Dec 1998","574.31","578.65","569.81","578.48"
"NIFTY 500","15 Dec 1998","585.62","585.67","573.02","574.30"
"NIFTY 500","14 Dec 1998","590.01","592.51","584.76","585.63"
"NIFTY 500","11 Dec 1998","586.38","591.61","586.38","589.99"
"NIFTY 500","10 Dec 1998","583.59","589.46","583.59","586.37"
"NIFTY 500","09 Dec 1998","581.81","588.11","581.76","583.57"
"NIFTY 500","08 Dec 1998","578.43","582.28","574.66","581.79"
"NIFTY 500","07 Dec 1998","567.73","578.79","567.73","578.44"
"NIFTY 500","04 Dec 1998","562.16","567.77","559.94","567.73"
